YearStart,YearEnd,LocationAbbr,Topic,Question,DataValue,DataValueUnit,DataValueType,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1
2017,2017,IA,Chronic Kidney Disease,Mortality with end-stage renal disease,1301.0,,Number,,,,Gender,Male
2014,2014,OH,Chronic Kidney Disease,Mortality with end-stage renal disease,4418.0,,Number,,,,Gender,Male
2012,2012,WY,Chronic Kidney Disease,Mortality with end-stage renal disease,391.0,,Number,,,,Overall,Overall
2015,2015,WY,Chronic Kidney Disease,Mortality with end-stage renal disease,354.0,,Number,,,,Overall,Overall
2017,2017,AZ,Chronic Kidney Disease,Mortality with end-stage renal disease,3554.0,,Number,,,,Overall,Overall
2011,2011,CT,Chronic Kidney Disease,Mortality with end-stage renal disease,1487.0,,Number,,,,Gender,Male
2019,2019,IL,Chronic Kidney Disease,Mortality with end-stage renal disease,4275.0,,Number,,,,Gender,Male
2018,2018,AK,Chronic Kidney Disease,Mortality with end-stage renal disease,161.0,,Number,,,,Gender,Male
2012,2012,IN,Chronic Kidney Disease,Mortality with end-stage renal disease,3614.0,,Number,,,,Gender,Female
2015,2015,AZ,Chronic Kidney Disease,Mortality with end-stage renal disease,1459.0,,Number,,,,Gender,Female
2019,2019,IA,Chronic Kidney Disease,Mortality with end-stage renal disease,2571.0,,Number,,,,Overall,Overall
2010,2010,HI,Chronic Kidney Disease,Mortality with end-stage renal disease,660.0,,Number,,,,Gender,Male
2014,2014,GA,Chronic Kidney Disease,Mortality with end-stage renal disease,2645.0,,Number,,,,Gender,Female
2017,2017,FL,Chronic Kidney Disease,Mortality with end-stage renal disease,5594.0,,Number,,,,Gender,Female
2011,2011,FL,Chronic Kidney Disease,Mortality with end-stage renal disease,7824.0,,Number,,,,Gender,Male
2012,2012,ID,Chronic Kidney Disease,Mortality with end-stage renal disease,1104.0,,Number,,,,Overall,Overall
2011,2011,HI,Chronic Kidney Disease,Mortality with end-stage renal disease,656.0,,Number,,,,Gender,Male
2020,2020,MN,Chronic Kidney Disease,Mortality with end-stage renal disease,2788.0,,Number,,,,Gender,Male
2011,2011,NE,Chronic Kidney Disease,Mortality with end-stage renal disease,986.0,,Number,,,,Gender,Male
2017,2017,OH,Chronic Kidney Disease,Mortality with end-stage renal disease,4378.0,,Number,,,,Gender,Female
2014,2014,WY,Chronic Kidney Disease,Mortality with end-stage renal disease,146.0,,Number,,,,Gender,Female
2015,2015,NY,Chronic Kidney Disease,Mortality with end-stage renal disease,9248.0,,Number,,,,Overall,Overall
2015,2015,NM,Chronic Kidney Disease,Mortality with end-stage renal disease,653.0,,Number,,,,Gender,Male
2020,2020,OR,Chronic Kidney Disease,Mortality with end-stage renal disease,1543.0,,Number,,,,Gender,Female
2019,2019,MD,Chronic Kidney Disease,Mortality with end-stage renal disease,4291.0,,Number,,,,Overall,Overall
2014,2014,CO,Chronic Kidney Disease,Mortality with end-stage renal disease,1270.0,,Number,,,,Gender,Male
2012,2012,DE,Chronic Kidney Disease,Mortality with end-stage renal disease,764.0,,Number,,,,Overall,Overall
2010,2010,MD,Chronic Kidney Disease,Mortality with end-stage renal disease,2146.0,,Number,,,,Gender,Male
2016,2016,LA,Chronic Kidney Disease,Mortality with end-stage renal disease,1448.0,,Number,,,,Gender,Male
2016,2016,HI,Chronic Kidney Disease,Mortality with end-stage renal disease,608.0,,Number,,,,Race/Ethnicity,Asian or Pacific Islander
2019,2019,KY,Chronic Kidney Disease,Mortality with end-stage renal disease,133.1,"cases per 100,000",Age-adjusted Rate,,120.4,145.9,Race/Ethnicity,"Black, non-Hispanic"
2018,2018,KS,Chronic Kidney Disease,Mortality with end-stage renal disease,1950.0,,Number,,,,Race/Ethnicity,"White, non-Hispanic"
2020,2020,CO,Chronic Kidney Disease,Mortality with end-stage renal disease,81.6,"cases per 100,000",Crude Rate,,57.1,112.9,Race/Ethnicity,American Indian or Alaska Native
2016,2016,AL,Chronic Kidney Disease,Mortality with end-stage renal disease,64.6,"cases per 100,000",Crude Rate,,61.5,67.7,Gender,Female
