YearStart,YearEnd,LocationAbbr,Topic,Question,DataValue,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1
2018,2018,US,Disability,Disability among adults aged >= 65 years,39.2,,35.2,43.2,Gender,Male
2016,2016,OR,Disability,Disability among adults aged >= 65 years,38.0,,36.6,39.4,Gender,Male
2019,2019,OR,Disability,Disability among adults aged >= 65 years,39.5,,33.3,45.6,Race/Ethnicity,Hispanic
2016,2016,TN,Disability,Disability among adults aged >= 65 years,38.3,,37.7,38.9,Overall,Overall
2016,2016,SC,Disability,Disability among adults aged >= 65 years,36.8,,35.5,38.0,Gender,Female
2010,2010,CT,Disability,Disability among adults aged >= 65 years,34.7,,33.3,36.0,Gender,Female
2016,2016,PA,Disability,Disability among adults aged >= 65 years,34.9,,34.3,35.5,Gender,Female
2013,2013,AZ,Disability,Disability among adults aged >= 65 years,39.6,,33.4,45.8,Race/Ethnicity,"Black, non-Hispanic"
2017,2017,AK,Disability,Disability among adults aged >= 65 years,55.8,,50.1,61.5,Race/Ethnicity,American Indian or Alaska Native
2014,2014,VA,Disability,Disability among adults aged >= 65 years,28.8,,25.8,31.8,Race/Ethnicity,"Asian, non-Hispanic"
2019,2019,ME,Disability,Disability among adults aged >= 65 years,42.6,,20.6,64.6,Race/Ethnicity,Hispanic
2017,2017,MT,Disability,Disability among adults aged >= 65 years,34.2,,32.7,35.7,Overall,Overall
2012,2012,MS,Disability,Disability among adults aged >= 65 years,42.7,,41.4,44.0,Race/Ethnicity,"White, non-Hispanic"
2014,2014,PA,Disability,Disability among adults aged >= 65 years,43.5,,39.9,47.1,Race/Ethnicity,Hispanic
2014,2014,LA,Disability,Disability among adults aged >= 65 years,40.3,,39.4,41.2,Overall,Overall
2014,2014,WV,Disability,Disability among adults aged >= 65 years,44.2,,43.0,45.4,Race/Ethnicity,"White, non-Hispanic"
2016,2016,KY,Disability,Disability among adults aged >= 65 years,42.2,,40.9,43.4,Gender,Female
2013,2013,NY,Disability,Disability among adults aged >= 65 years,36.6,,35.2,38.0,Race/Ethnicity,"Black, non-Hispanic"
2013,2013,RI,Disability,Disability among adults aged >= 65 years,37.7,,35.6,39.8,Gender,Female
2014,2014,AK,Disability,Disability among adults aged >= 65 years,41.1,,38.7,43.5,Overall,Overall
2011,2011,US,Disability,Disability among adults aged >= 65 years,36.6,,36.5,36.7,Overall,Overall
2019,2019,NV,Disability,Disability among adults aged >= 65 years,34.1,,32.9,35.3,Race/Ethnicity,"White, non-Hispanic"
2012,2012,AR,Disability,Disability among adults aged >= 65 years,41.4,,40.4,42.4,Overall,Overall
2010,2010,WV,Disability,Disability among adults aged >= 65 years,43.3,,41.9,44.7,Race/Ethnicity,"White, non-Hispanic"
2012,2012,CA,Disability,Disability among adults aged >= 65 years,38.6,,38.2,39.0,Gender,Female
2019,2019,MT,Disability,Disability among adults aged >= 65 years,30.8,,16.2,45.3,Race/Ethnicity,Hispanic
2014,2014,CT,Disability,Disability among adults aged >= 65 years,33.6,,32.5,34.7,Gender,Female
2015,2015,MD,Disability,Disability among adults aged >= 65 years,31.2,,30.5,31.9,Race/Ethnicity,"White, non-Hispanic"
2013,2013,MS,Disability,Disability among adults aged >= 65 years,50.1,,47.4,52.8,Race/Ethnicity,"Black, non-Hispanic"
2013,2013,GA,Disability,Disability among adults aged >= 65 years,37.1,,36.3,37.9,Race/Ethnicity,"White, non-Hispanic"
2013,2013,MA,Disability,Disability among adults aged >= 65 years,37.0,,32.2,41.8,Race/Ethnicity,"Asian, non-Hispanic"
2013,2013,TX,Disability,Disability among adults aged >= 65 years,40.3,,39.7,40.8,Gender,Female
2018,2018,CO,Disability,Disability among adults aged >= 65 years,30.2,,29.3,31.2,Gender,Female
2013,2013,NH,Disability,Disability among adults aged >= 65 years,34.6,,33.1,36.1,Overall,Overall
