YearStart,YearEnd,LocationAbbr,Topic,Question,DataValue,DataValueUnit,DataValueType,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1
2011,2011,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,43.1,%,Age-adjusted Prevalence,,37.4,48.9,Race/Ethnicity,"Other, non-Hispanic"
2019,2019,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,34.6,%,Age-adjusted Prevalence,,31.0,38.4,Gender,Male
2017,2017,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,36.6,%,Age-adjusted Prevalence,,32.6,40.9,Gender,Female
2013,2013,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,37.2,%,Age-adjusted Prevalence,,32.1,42.7,Race/Ethnicity,"Other, non-Hispanic"
2019,2019,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,39.8,%,Age-adjusted Prevalence,,35.6,44.1,Gender,Female
2019,2019,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,33.5,%,Age-adjusted Prevalence,,20.6,49.4,Race/Ethnicity,Hispanic
2021,2021,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,41.1,%,Age-adjusted Prevalence,,38.7,43.5,Race/Ethnicity,"White, non-Hispanic"
2016,2016,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,34.6,%,Age-adjusted Prevalence,,31.4,37.9,Race/Ethnicity,"White, non-Hispanic"
2021,2021,AL,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,34.9,%,Age-adjusted Prevalence,,24.4,47.0,Race/Ethnicity,"Other, non-Hispanic"
2012,2012,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,32.3,%,Crude Prevalence,,22.0,44.6,Race/Ethnicity,"Multiracial, non-Hispanic"
2013,2013,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,36.2,%,Crude Prevalence,,25.8,48.1,Race/Ethnicity,Hispanic
2014,2014,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,37.3,%,Crude Prevalence,,27.8,47.9,Race/Ethnicity,"Multiracial, non-Hispanic"
2018,2018,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,23.5,%,Crude Prevalence,,14.7,35.4,Race/Ethnicity,Hispanic
2015,2015,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,36.6,%,Age-adjusted Prevalence,,25.8,48.9,Race/Ethnicity,Hispanic
2021,2021,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,40.2,%,Age-adjusted Prevalence,,35.2,45.6,Race/Ethnicity,"Other, non-Hispanic"
2018,2018,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,36.4,%,Crude Prevalence,,32.8,40.2,Gender,Female
2017,2017,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,32.9,%,Age-adjusted Prevalence,,29.1,36.9,Gender,Male
2016,2016,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,35.0,%,Crude Prevalence,,30.9,39.4,Gender,Female
2020,2020,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,39.1,%,Age-adjusted Prevalence,,36.2,42.1,Race/Ethnicity,"White, non-Hispanic"
2017,2017,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,37.6,%,Age-adjusted Prevalence,,26.9,49.6,Race/Ethnicity,Hispanic
2011,2011,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,35.3,%,Crude Prevalence,,23.5,49.3,Race/Ethnicity,Hispanic
2021,2021,AL,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,33.6,%,Age-adjusted Prevalence,,30.3,37.1,Race/Ethnicity,"Black, non-Hispanic"
2013,2013,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,36.8,%,Age-adjusted Prevalence,,34.0,39.7,Gender,Female
2015,2015,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,35.9,%,Crude Prevalence,,24.4,49.4,Race/Ethnicity,Hispanic
2020,2020,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,39.7,%,Crude Prevalence,,29.7,50.7,Race/Ethnicity,"Multiracial, non-Hispanic"
2015,2015,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,37.0,%,Age-adjusted Prevalence,,33.3,40.8,Gender,Female
2011,2011,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,29.6,%,Crude Prevalence,,27.3,32.1,Race/Ethnicity,"White, non-Hispanic"
2018,2018,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,30.1,%,Crude Prevalence,,18.6,44.8,Race/Ethnicity,"Multiracial, non-Hispanic"
2017,2017,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,33.0,%,Crude Prevalence,,30.0,36.0,Race/Ethnicity,"White, non-Hispanic"
2015,2015,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,36.0,%,Crude Prevalence,,33.1,39.0,Race/Ethnicity,"White, non-Hispanic"
2017,2017,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,38.8,%,Age-adjusted Prevalence,,30.9,47.3,Race/Ethnicity,"Other, non-Hispanic"
2020,2020,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,35.5,%,Age-adjusted Prevalence,,32.3,38.9,Gender,Male
2013,2013,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,34.5,%,Crude Prevalence,,32.3,36.8,Race/Ethnicity,"White, non-Hispanic"
2017,2017,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,34.2,%,Crude Prevalence,,21.2,50.1,Race/Ethnicity,Hispanic
2021,2021,AL,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,45.2,%,Crude Prevalence,,42.9,47.6,Race/Ethnicity,"White, non-Hispanic"
2013,2013,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,35.9,%,Age-adjusted Prevalence,,25.7,47.5,Race/Ethnicity,Hispanic
2012,2012,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,32.0,%,Age-adjusted Prevalence,,29.8,34.3,Race/Ethnicity,"White, non-Hispanic"
2019,2019,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,36.0,%,Age-adjusted Prevalence,,29.9,42.7,Race/Ethnicity,"Other, non-Hispanic"
2014,2014,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,34.4,%,Age-adjusted Prevalence,,32.3,36.6,Race/Ethnicity,"White, non-Hispanic"
2012,2012,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,31.9,%,Crude Prevalence,,29.3,34.6,Gender,Female
2016,2016,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,19.2,%,Crude Prevalence,,12.3,28.7,Race/Ethnicity,"Multiracial, non-Hispanic"
2019,2019,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,39.2,%,Crude Prevalence,,36.1,42.5,Race/Ethnicity,"White, non-Hispanic"
2014,2014,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,36.6,%,Crude Prevalence,,34.0,39.4,Gender,Female
2021,2021,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,41.5,%,Crude Prevalence,,39.5,43.6,Overall,Overall
2021,2021,AL,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,38.6,%,Age-adjusted Prevalence,,36.6,40.5,Overall,Overall
2015,2015,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,34.3,%,Age-adjusted Prevalence,,29.0,40.1,Race/Ethnicity,"Other, non-Hispanic"
2011,2011,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,34.2,%,Age-adjusted Prevalence,,23.9,46.3,Race/Ethnicity,Hispanic
2011,2011,AK,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,35.6,%,Age-adjusted Prevalence,,32.6,38.8,Gender,Female
