YearStart,YearEnd,LocationAbbr,Topic,Question,DataValue,DataValueUnit,DataValueType,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1
2009,2011,WA,Mental Health,Postpartum depressive symptoms,12.0,%,Crude Prevalence,,9.8,14.6,Overall,Overall
2009,2011,GA,Mental Health,Postpartum depressive symptoms,8.2,%,Crude Prevalence,,6.2,10.7,Overall,Overall
2009,2011,MI,Mental Health,Postpartum depressive symptoms,9.4,%,Crude Prevalence,,7.8,11.3,Overall,Overall
2009,2011,OR,Mental Health,Postpartum depressive symptoms,12.6,%,Crude Prevalence,,10.4,15.2,Overall,Overall
2009,2011,AR,Mental Health,Postpartum depressive symptoms,18.0,%,Crude Prevalence,,14.8,21.6,Overall,Overall
2009,2011,NM,Mental Health,Postpartum depressive symptoms,12.2,%,Crude Prevalence,,10.6,14.0,Overall,Overall
2009,2011,WY,Mental Health,Postpartum depressive symptoms,11.3,%,Crude Prevalence,,8.8,14.4,Overall,Overall
2009,2011,NJ,Mental Health,Postpartum depressive symptoms,7.2,%,Crude Prevalence,,5.8,8.8,Overall,Overall
2009,2011,ME,Mental Health,Postpartum depressive symptoms,9.4,%,Crude Prevalence,,7.5,11.7,Overall,Overall
2009,2011,CO,Mental Health,Postpartum depressive symptoms,9.9,%,Crude Prevalence,,8.2,11.8,Overall,Overall
2009,2011,OK,Mental Health,Postpartum depressive symptoms,14.9,%,Crude Prevalence,,12.2,18.1,Overall,Overall
2009,2011,VT,Mental Health,Postpartum depressive symptoms,9.7,%,Crude Prevalence,,8.1,11.7,Overall,Overall
2009,2011,WV,Mental Health,Postpartum depressive symptoms,13.5,%,Crude Prevalence,,11.5,15.7,Overall,Overall
2009,2011,MD,Mental Health,Postpartum depressive symptoms,7.3,%,Crude Prevalence,,5.5,9.5,Overall,Overall
2009,2011,HI,Mental Health,Postpartum depressive symptoms,6.9,%,Crude Prevalence,,5.5,8.7,Overall,Overall
2009,2011,NE,Mental Health,Postpartum depressive symptoms,10.5,%,Crude Prevalence,,8.8,12.4,Overall,Overall
2009,2011,NY,Mental Health,Postpartum depressive symptoms,9.8,%,Crude Prevalence,,7.7,12.3,Overall,Overall
2009,2011,UT,Mental Health,Postpartum depressive symptoms,15.3,%,Crude Prevalence,,13.3,17.5,Overall,Overall
2009,2011,MO,Mental Health,Postpartum depressive symptoms,12.1,%,Crude Prevalence,,10.1,14.4,Overall,Overall
2009,2011,PA,Mental Health,Postpartum depressive symptoms,10.3,%,Crude Prevalence,,8.4,12.5,Overall,Overall
2009,2011,MN,Mental Health,Postpartum depressive symptoms,8.4,%,Crude Prevalence,,6.8,10.2,Overall,Overall
2009,2011,RI,Mental Health,Postpartum depressive symptoms,10.3,%,Crude Prevalence,,8.5,12.5,Overall,Overall
2009,2011,WI,Mental Health,Postpartum depressive symptoms,10.3,%,Crude Prevalence,,8.2,12.9,Overall,Overall
2021,2021,AK,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,6.7,Number,Mean,,4.9,8.6,Race/Ethnicity,Hispanic
2015,2015,AK,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,4.4,Number,Mean,,2.9,6.0,Race/Ethnicity,"Multiracial, non-Hispanic"
2019,2019,AK,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,12.8,%,Crude Prevalence,,9.5,17.0,Race/Ethnicity,"White, non-Hispanic"
2012,2012,AK,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,2.3,Number,Age-adjusted Mean,,1.9,2.7,Gender,Male
2016,2016,AK,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,4.2,Number,Age-adjusted Mean,,2.9,5.6,Race/Ethnicity,"Other, non-Hispanic"
2019,2019,AK,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,4.6,Number,Age-adjusted Mean,,3.7,5.4,Gender,Female
2011,2011,AK,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,3.7,Number,Mean,,3.1,4.3,Gender,Female
2020,2020,AK,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,4.4,Number,Age-adjusted Mean,,3.8,5.0,Gender,Female
2017,2017,AK,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,4.5,Number,Mean,,2.6,6.3,Race/Ethnicity,"Multiracial, non-Hispanic"
2021,2021,AK,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,4.5,Number,Mean,,3.6,5.4,Race/Ethnicity,"Other, non-Hispanic"
2011,2011,AK,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,4.3,Number,Mean,,2.1,6.5,Race/Ethnicity,Hispanic
2013,2013,AK,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,3.3,Number,Age-adjusted Mean,,2.2,4.3,Race/Ethnicity,"Multiracial, non-Hispanic"
2013,2013,AK,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,3.8,Number,Mean,,3.4,4.3,Gender,Female
2014,2014,AK,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,2.6,Number,Age-adjusted Mean,,1.9,3.2,Race/Ethnicity,"Other, non-Hispanic"
2014,2014,AK,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,3.1,Number,Mean,,2.7,3.4,Overall,Overall
2020,2020,AK,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,4.4,Number,Mean,,1.9,6.8,Race/Ethnicity,Hispanic
2016,2016,AK,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,3.5,Number,Mean,,3.0,4.0,Overall,Overall
2013,2013,AK,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,3.0,Number,Age-adjusted Mean,,2.7,3.3,Overall,Overall
2018,2018,AK,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,3.8,Number,Mean,,3.3,4.2,Overall,Overall
2012,2012,AK,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,4.1,Number,Age-adjusted Mean,,3.6,4.6,Gender,Female
2012,2012,AK,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,3.2,Number,Mean,,2.9,3.5,Overall,Overall
2011,2011,AK,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,2.8,Number,Age-adjusted Mean,,2.4,3.2,Race/Ethnicity,"White, non-Hispanic"
2020,2020,AK,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,3.0,Number,Age-adjusted Mean,,2.3,3.7,Race/Ethnicity,"Other, non-Hispanic"
2013,2013,AK,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,3.1,Number,Mean,,2.8,3.4,Overall,Overall
2021,2021,AK,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,4.5,Number,Age-adjusted Mean,,4.2,4.9,Overall,Overall
2018,2018,AK,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,3.2,Number,Age-adjusted Mean,,2.3,4.0,Race/Ethnicity,"Other, non-Hispanic"
2012,2012,AK,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,14.7,%,Crude Prevalence,,11.6,18.4,Overall,Overall
