YearStart,YearEnd,LocationAbbr,Topic,Question,DataValue,DataValueUnit,DataValueType,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1
2016,2016,CO,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,81.0,,Number,,,,Race/Ethnicity,Hispanic
2016,2016,FL,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,23219.0,,Number,,,,Overall,Overall
2013,2013,IA,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,7.61,"cases per 1,000",Crude Rate,,7.33,7.88,Race/Ethnicity,"White, non-Hispanic"
2019,2019,GA,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,36.0,,Number,,,,Race/Ethnicity,Asian or Pacific Islander
2020,2020,GA,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,5.93,"cases per 1,000",Age-adjusted Rate,,3.72,8.14,Race/Ethnicity,Hispanic
2011,2011,CA,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,4.57,"cases per 1,000",Crude Rate,,4.29,4.85,Race/Ethnicity,Asian or Pacific Islander
2011,2011,HI,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,296.0,,Number,,,,Race/Ethnicity,Asian or Pacific Islander
2013,2013,HI,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,10.9,"cases per 1,000",Age-adjusted Rate,,10.03,11.78,Gender,Female
2020,2020,AL,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,7.56,"cases per 1,000",Age-adjusted Rate,,6.79,8.32,Race/Ethnicity,"Black, non-Hispanic"
2010,2010,AK,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,4.05,"cases per 1,000",Crude Rate,,3.43,4.67,Race/Ethnicity,"White, non-Hispanic"
2014,2014,GA,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,9.74,"cases per 1,000",Age-adjusted Rate,,9.51,9.96,Overall,Overall
2017,2017,GA,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,6.18,"cases per 1,000",Age-adjusted Rate,,4.37,7.99,Race/Ethnicity,Asian or Pacific Islander
2013,2013,CT,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,2324.0,,Number,,,,Gender,Female
2018,2018,DE,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,6.53,"cases per 1,000",Age-adjusted Rate,,6.09,6.97,Overall,Overall
2014,2014,DE,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,629.0,,Number,,,,Gender,Female
2013,2013,CT,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,4.9,"cases per 1,000",Crude Rate,,2.76,7.05,Race/Ethnicity,Hispanic
2020,2020,AK,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,5.11,"cases per 1,000",Crude Rate,,4.45,5.77,Gender,Female
2010,2010,CA,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,10.4,"cases per 1,000",Crude Rate,,8.3,12.51,Race/Ethnicity,American Indian or Alaska Native
