YearStart,YearEnd,LocationAbbr,Topic,Question,DataValue,DataValueUnit,DataValueType,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1
2019,2019,WY,Oral Health,Oral health services at Federally Qualified Health Centers,7.5,%,Crude Prevalence,,,,Overall,Overall
2016,2016,PA,Oral Health,Preventive dental care before pregnancy,47.7,%,Crude Prevalence,,44.2,51.3,Overall,Overall
2018,2018,IA,Oral Health,Preventive dental care before pregnancy,48.9,%,Crude Prevalence,,43.7,54.1,Overall,Overall
2015,2015,IA,Oral Health,Preventive dental care before pregnancy,68.0,%,Crude Prevalence,,62.4,73.0,Race/Ethnicity,"White, non-Hispanic"
2015,2015,MO,Oral Health,Preventive dental care before pregnancy,50.1,%,Crude Prevalence,,46.8,53.5,Overall,Overall
2016,2016,FL,Oral Health,Oral health services at Federally Qualified Health Centers,23.3,%,Crude Prevalence,,,,Overall,Overall
2013,2013,NV,Oral Health,Oral health services at Federally Qualified Health Centers,16.7,%,Crude Prevalence,,,,Overall,Overall
2012,2012,WY,Oral Health,Preventive dental care before pregnancy,55.6,%,Crude Prevalence,,50.7,60.4,Overall,Overall
2016,2016,TX,Oral Health,Preventive dental care before pregnancy,30.5,%,Crude Prevalence,,27.9,33.2,Overall,Overall
2019,2019,KY,Oral Health,Oral health services at Federally Qualified Health Centers,16.2,%,Crude Prevalence,,,,Overall,Overall
2019,2019,GA,Oral Health,Preventive dental care before pregnancy,25.6,%,Crude Prevalence,,16.3,37.7,Race/Ethnicity,Hispanic
2015,2015,HI,Oral Health,Oral health services at Federally Qualified Health Centers,26.9,%,Crude Prevalence,,,,Overall,Overall
2015,2015,AR,Oral Health,Preventive dental care before pregnancy,26.3,%,Crude Prevalence,,16.0,40.1,Race/Ethnicity,Hispanic
2015,2015,DE,Oral Health,Preventive dental care before pregnancy,36.5,%,Crude Prevalence,,28.6,45.2,Race/Ethnicity,Hispanic
2019,2019,LA,Oral Health,Preventive dental care before pregnancy,31.6,%,Crude Prevalence,,21.9,43.3,Race/Ethnicity,Hispanic
2018,2018,NY,Oral Health,Preventive dental care before pregnancy,44.9,%,Crude Prevalence,,42.1,47.8,Overall,Overall
2014,2014,MO,Oral Health,Oral health services at Federally Qualified Health Centers,35.7,%,Crude Prevalence,,,,Overall,Overall
2012,2012,AR,Oral Health,Oral health services at Federally Qualified Health Centers,17.5,%,Crude Prevalence,,,,Overall,Overall
2019,2019,AK,Oral Health,Preventive dental care before pregnancy,46.9,%,Crude Prevalence,,43.4,50.4,Overall,Overall
2018,2019,DE,Oral Health,Dental visits among children and adolescents aged 1-17 years,83.4,%,Crude Prevalence,,79.9,86.4,Overall,Overall
2017,2017,VI,Oral Health,Oral health services at Federally Qualified Health Centers,31.9,%,Crude Prevalence,,,,Overall,Overall
2015,2015,AL,Oral Health,Preventive dental care before pregnancy,52.6,%,Crude Prevalence,,46.0,59.0,Race/Ethnicity,"Black, non-Hispanic"
2015,2015,MA,Oral Health,Preventive dental care before pregnancy,51.1,%,Crude Prevalence,"Less than 60 respondents, interpret with caution",29.9,71.8,Race/Ethnicity,"Multiracial, non-Hispanic"
2018,2019,TN,Oral Health,Dental visits among children and adolescents aged 1-17 years,76.7,%,Crude Prevalence,,71.7,81.0,Gender,Male
2016,2017,KY,Oral Health,Preventive dental visits among children and adolescents aged 1-17 years,79.3,%,Crude Prevalence,,74.0,83.8,Gender,Male
2018,2018,KS,Oral Health,Population served by community water systems that receive fluoridated drinking water,65.1,%,Percent,,,,Overall,Overall
2018,2019,MA,Oral Health,Dental visits among children and adolescents aged 1-17 years,90.2,%,Crude Prevalence,,87.6,92.3,Overall,Overall
2017,2017,IL,Oral Health,Preventive dental care before pregnancy,54.5,%,Crude Prevalence,,50.3,58.6,Race/Ethnicity,"White, non-Hispanic"
2018,2018,NY,Oral Health,Preventive dental care before pregnancy,38.7,%,Crude Prevalence,,31.8,46.0,Race/Ethnicity,"Black, non-Hispanic"
2018,2018,RI,Oral Health,Preventive dental care before pregnancy,32.3,%,Crude Prevalence,"Less than 60 respondents, interpret with caution",18.4,50.4,Race/Ethnicity,"Multiracial, non-Hispanic"
2017,2018,CA,Oral Health,Preventive dental visits among children and adolescents aged 1-17 years,80.2,%,Crude Prevalence,,76.0,83.9,Overall,Overall
2019,2020,AR,Oral Health,Dental visits among children and adolescents aged 1-17 years,78.2,%,Crude Prevalence,,74.9,81.1,Overall,Overall
2017,2017,UT,Oral Health,Preventive dental care before pregnancy,34.5,%,Crude Prevalence,,27.6,42.1,Race/Ethnicity,Hispanic
2017,2017,OK,Oral Health,Preventive dental care before pregnancy,24.2,%,Crude Prevalence,,20.5,28.4,Race/Ethnicity,Hispanic
2019,2020,OH,Oral Health,Preventive dental visits among children and adolescents aged 1-17 years,75.1,%,Crude Prevalence,,69.9,79.6,Gender,Female
2014,2014,WV,Oral Health,Oral health services at Federally Qualified Health Centers,9.1,%,Crude Prevalence,,,,Overall,Overall
2019,2020,US,Oral Health,Dental visits among children and adolescents aged 1-17 years,80.4,%,Crude Prevalence,,79.7,81.1,Overall,Overall
2018,2019,ME,Oral Health,Preventive dental visits among children and adolescents aged 1-17 years,72.5,%,Crude Prevalence,,66.7,77.6,Gender,Male
2019,2020,WY,Oral Health,Preventive dental visits among children and adolescents aged 1-17 years,79.6,%,Crude Prevalence,,75.5,83.2,Gender,Male
2018,2018,DC,Oral Health,Population served by community water systems that receive fluoridated drinking water,100.0,%,Percent,,,,Overall,Overall
2015,2015,OK,Oral Health,Preventive dental care before pregnancy,53.0,%,Crude Prevalence,"Less than 60 respondents, interpret with caution",28.4,76.3,Race/Ethnicity,Asian or Pacific Islander
2019,2020,WI,Oral Health,Dental visits among children and adolescents aged 1-17 years,80.2,%,Crude Prevalence,,75.3,84.4,Gender,Female
2017,2017,UT,Oral Health,Oral health services at Federally Qualified Health Centers,15.3,%,Crude Prevalence,,,,Overall,Overall
2019,2019,NY,Oral Health,Preventive dental care before pregnancy,43.1,%,Crude Prevalence,"Less than 60 respondents, interpret with caution",25.5,62.7,Race/Ethnicity,"Multiracial, non-Hispanic"
2018,2018,ME,Oral Health,Oral health services at Federally Qualified Health Centers,23.0,%,Crude Prevalence,,,,Overall,Overall
2018,2018,NE,Oral Health,Population served by community water systems that receive fluoridated drinking water,73.7,%,Percent,,,,Overall,Overall
2019,2019,PA,Oral Health,Preventive dental care before pregnancy,57.4,%,Crude Prevalence,,52.0,62.7,Race/Ethnicity,"White, non-Hispanic"
2018,2019,LA,Oral Health,Dental visits among children and adolescents aged 1-17 years,80.1,%,Crude Prevalence,,76.8,83.1,Overall,Overall
2019,2020,AR,Oral Health,Preventive dental visits among children and adolescents aged 1-17 years,76.5,%,Crude Prevalence,,73.2,79.5,Overall,Overall
2020,2020,MA,Oral Health,Oral health services at Federally Qualified Health Centers,16.5,%,Crude Prevalence,,,,Overall,Overall
2018,2018,IA,Oral Health,Preventive dental care before pregnancy,24.9,%,Crude Prevalence,,20.4,30.0,Race/Ethnicity,Hispanic
2017,2018,VA,Oral Health,Dental visits among children and adolescents aged 1-17 years,84.7,%,Crude Prevalence,,81.2,87.5,Overall,Overall
2013,2013,WY,Oral Health,Preventive dental care before pregnancy,54.0,%,Crude Prevalence,"Less than 60 respondents, interpret with caution",38.7,68.6,Race/Ethnicity,Hispanic
2019,2019,KS,Oral Health,Preventive dental care before pregnancy,27.2,%,Crude Prevalence,,18.3,38.4,Race/Ethnicity,Hispanic
2017,2018,NH,Oral Health,Preventive dental visits among children and adolescents aged 1-17 years,83.7,%,Crude Prevalence,,78.8,87.6,Gender,Female
2018,2019,NM,Oral Health,Dental visits among children and adolescents aged 1-17 years,83.4,%,Crude Prevalence,,78.5,87.4,Gender,Male
2018,2019,NH,Oral Health,Dental visits among children and adolescents aged 1-17 years,86.5,%,Crude Prevalence,,83.7,88.9,Overall,Overall
2020,2020,PR,Oral Health,Preventive dental care before pregnancy,48.8,%,Crude Prevalence,,44.9,52.7,Overall,Overall
2017,2017,UT,Oral Health,Preventive dental care before pregnancy,51.5,%,Crude Prevalence,,48.2,54.8,Overall,Overall
2014,2014,MO,Oral Health,Preventive dental care before pregnancy,49.8,%,Crude Prevalence,,46.5,53.1,Overall,Overall
2015,2015,OR,Oral Health,Preventive dental care before pregnancy,45.8,%,Crude Prevalence,,40.9,50.8,Race/Ethnicity,Hispanic
2013,2013,CO,Oral Health,Preventive dental care before pregnancy,41.6,%,Crude Prevalence,,35.1,48.5,Race/Ethnicity,Hispanic
2013,2013,MA,Oral Health,Preventive dental care before pregnancy,79.8,%,Crude Prevalence,,75.1,83.8,Race/Ethnicity,"White, non-Hispanic"
2012,2012,WY,Oral Health,Preventive dental care before pregnancy,51.7,%,Crude Prevalence,"Less than 60 respondents, interpret with caution",39.7,63.4,Race/Ethnicity,American Indian or Alaska Native
2018,2018,OR,Oral Health,Population served by community water systems that receive fluoridated drinking water,26.3,%,Percent,,,,Overall,Overall
2014,2014,AK,Oral Health,Preventive dental care before pregnancy,56.2,%,Crude Prevalence,,42.3,69.2,Race/Ethnicity,Asian or Pacific Islander
2018,2019,AK,Oral Health,Preventive dental visits among children and adolescents aged 1-17 years,77.3,%,Crude Prevalence,,71.9,82.0,Gender,Male
2021,2021,AR,Oral Health,Oral health services at Federally Qualified Health Centers,9.9,%,Crude Prevalence,,,,Overall,Overall
2018,2019,VA,Oral Health,Preventive dental visits among children and adolescents aged 1-17 years,81.5,%,Crude Prevalence,,76.5,85.7,Gender,Female
2018,2018,MN,Oral Health,Oral health services at Federally Qualified Health Centers,37.1,%,Crude Prevalence,,,,Overall,Overall
2017,2018,IL,Oral Health,Preventive dental visits among children and adolescents aged 1-17 years,76.1,%,Crude Prevalence,,71.9,79.8,Overall,Overall
