YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3,OriginalDataValue
2012,2012,MI,Michigan,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-84.71439026999968 44.6613195430005),,26,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 4 - State had mixed alcohol retail licensing policies
2020,2020,NM,New Mexico,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-106.24058098499967 34.52088095200048),,35,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority
2012,2012,AK,Alaska,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,2,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority
2014,2014,ND,North Dakota,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-100.11842104899966 47.47531977900047),,38,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 2 - State had joint local and state alcohol retail licensing
2014,2014,OR,Oregon,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-120.15503132599969 44.56744942400047),,41,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 5 - State had nearly exclusive state alcohol retail licensing
2020,2020,AL,Alabama,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,1,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 4 - State had mixed alcohol retail licensing policies
2014,2014,AZ,Arizona,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-111.76381127699972 34.865970280000454),,4,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 6 - State had exclusive state alcohol retail licensing
2020,2020,KY,Kentucky,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-84.77497104799966 37.645970271000465),,21,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 6 - State had exclusive state alcohol retail licensing
2014,2014,UT,Utah,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-111.58713063499971 39.360700171000474),,49,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 2 - State had joint local and state alcohol retail licensing
2012,2012,WA,Washington,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-120.47001078999972 47.52227862900048),,53,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 6 - State had exclusive state alcohol retail licensing
2012,2012,ID,Idaho,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-114.3637300419997 43.682630005000476),,16,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 2 - State had joint local and state alcohol retail licensing
2012,2012,DE,Delaware,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-75.57774116799965 39.008830667000495),,10,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 6 - State had exclusive state alcohol retail licensing
2014,2014,HI,Hawaii,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-157.85774940299973 21.304850435000446),,15,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 1 - State had exclusive local alcohol retail licensing
2014,2014,DE,Delaware,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-75.57774116799965 39.008830667000495),,10,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 6 - State had exclusive state alcohol retail licensing
2014,2014,KS,Kansas,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-98.20078122699965 38.34774030000045),,20,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority
2020,2020,CA,California,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-120.99999953799971 37.63864012300047),,6,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority
2020,2020,OH,Ohio,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-82.40426005599966 40.06021014100048),,39,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority
2020,2020,RI,Rhode Island,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-71.52247031399963 41.70828019300046),,44,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 1 - State had exclusive local alcohol retail licensing
2014,2014,WI,Wisconsin,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-89.81637074199966 44.39319117400049),,55,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 1 - State had exclusive local alcohol retail licensing
2020,2020,CT,Connecticut,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-72.64984095199964 41.56266102000046),,9,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority
2014,2014,IL,Illinois,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-88.99771017799969 40.48501028300046),,17,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 2 - State had joint local and state alcohol retail licensing
2012,2012,NH,New Hampshire,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-71.50036091999965 43.65595011300047),,33,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 6 - State had exclusive state alcohol retail licensing
2020,2020,VT,Vermont,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-72.51764079099962 43.62538123900049),,50,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 4 - State had mixed alcohol retail licensing policies
2012,2012,LA,Louisiana,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-92.44568007099969 31.31266064400046),,22,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 2 - State had joint local and state alcohol retail licensing
2012,2012,MS,Mississippi,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-89.53803082499968 32.745510099000455),,28,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 4 - State had mixed alcohol retail licensing policies
2020,2020,FL,Florida,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-81.92896053899966 28.932040377000476),,12,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority
2020,2020,WY,Wyoming,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-108.10983035299967 43.23554134300048),,56,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 1 - State had exclusive local alcohol retail licensing
2014,2014,NY,New York,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-75.54397042699964 42.82700103200045),,36,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 6 - State had exclusive state alcohol retail licensing
2012,2012,NC,North Carolina,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-79.15925046299964 35.466220975000454),,37,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 5 - State had nearly exclusive state alcohol retail licensing
2014,2014,MA,Massachusetts,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-72.08269067499964 42.27687047000046),,25,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 2 - State had joint local and state alcohol retail licensing
2012,2012,TN,Tennessee,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-85.77449091399967 35.68094058000048),,47,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 2 - State had joint local and state alcohol retail licensing
2020,2020,ND,North Dakota,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-100.11842104899966 47.47531977900047),,38,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 2 - State had joint local and state alcohol retail licensing
2014,2014,TN,Tennessee,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-85.77449091399967 35.68094058000048),,47,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 2 - State had joint local and state alcohol retail licensing
2020,2020,OR,Oregon,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-120.15503132599969 44.56744942400047),,41,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 5 - State had nearly exclusive state alcohol retail licensing
2014,2014,AK,Alaska,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,2,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 3 - State had exclusive state alcohol retail licensing but with local zoning authority
2020,2020,MN,Minnesota,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-94.79420050299967 46.35564873600049),,27,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 1 - State had exclusive local alcohol retail licensing
2012,2012,AR,Arkansas,Legal Research,Alcohol,Local authority to regulate alcohol outlet density,,,Local control of the regulation of alcohol outlet density,,,,,,,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,5,ALC,ALC10_0,LCLCNTRLALC,OVERALL,OVR,,,,,Category 2 - State had joint local and state alcohol retail licensing
